AUS,LAS,43665,1,195480,195480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,206910,202554,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,194394,195480,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,7,5,43660,AUSLAS,AUSLAS
AUS,MCO,43665,1,182085,185070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148800,148800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,174125,185070,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7,5,43660,AUSMCO,AUSMCO
AUS,MSP,43665,1,183195,192510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,171930,193812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,176985,192510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,AUSMSP,AUSMSP
AUS,OMA,43665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103850,116250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,AUSOMA,AUSOMA
AUS,ONT,43665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216657,222642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,AUSONT,AUSONT
AUS,PHL,43665,1,262936,257220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265422,265422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,260078,265794,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,5,43660,AUSPHL,AUSPHL
AUS,PHX,43665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,131672,130800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,AUSPHX,AUSPHX
AUS,RDU,43665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163842,216132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,AUSRDU,AUSRDU
AUS,RNO,43665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250090,261330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,AUSRNO,AUSRNO
AUS,SAN,43665,1,208800,208800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,208800,208800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,43660,AUSSAN,AUSSAN
